freq,unit,na_item,geo\TIME_PERIOD	1975 	1976 	1977 	1978 	1979 	1980 	1981 	1982 	1983 	1984 	1985 	1986 	1987 	1988 	1989 	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,PD15_EUR,B1GQ,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	54.031 	47.347 	50.456 	59.124 	69.238 	74.176 	74.622 	75.561 	83.950 	89.156 	92.190 	95.806 	100.424 d	95.641 	95.782 	96.226 	98.131 	97.559 d	99.276 	100.000 	101.089 	105.010 	112.035 	117.668 	117.739 p	: 	: 
A,PD15_EUR,B1GQ,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	76.157 	75.465 	74.268 	74.432 	75.134 	76.158 	77.641 	78.531 	79.558 	80.942 	82.996 	84.566 	86.445 	88.136 	89.801 	90.585 	92.246 	94.141 	95.669 	97.751 	100.000 	101.848 	102.872 	104.763 	106.384 	109.106 	111.226 	116.758 
A,PD15_EUR,B1GQ,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	62.777 	65.744 	69.037 	70.011 	71.524 	75.951 	81.875 	86.948 	93.328 	93.501 	94.816 	97.122 	97.895 	97.676 	98.653 	100.000 	101.333 	103.136 	106.013 	108.635 	108.703 	113.986 	127.939 
A,PD15_EUR,B1GQ,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	76.947 	75.845 	74.092 	75.267 	76.245 	77.781 	79.323 	80.624 	82.116 	83.688 	85.431 	87.366 	89.054 	90.754 	91.238 	92.964 	94.644 	96.500 	97.727 	98.687 	100.000 	101.921 	103.786 	105.395 	107.237 	108.851 p	111.922 p	118.526 p
A,PD15_EUR,B1GQ,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	47.583 	30.634 	36.521 	46.980 	48.869 	52.695 	55.904 	58.026 	59.302 	62.474 	66.509 	71.003 	78.849 	85.239 	88.596 	89.273 	94.730 	95.784 	95.852 	97.138 	100.000 	103.322 	108.292 	112.876 	118.787 	123.845 	132.678 	152.715 p
A,PD15_EUR,B1GQ,CH	: 	: 	: 	: 	: 	25.918 	29.147 	34.452 	37.511 	39.343 	40.058 	43.496 	45.565 	46.555 	46.241 	49.410 	51.780 	51.562 	55.431 	59.855 	63.245 	62.524 	59.346 	60.037 	60.878 	63.390 	66.016 	67.804 	66.160 	65.384 	65.797 	66.161 	64.855 	68.088 	71.905 	78.908 	88.345 	90.404 	88.433 	89.048 	100.000 	97.383 	95.148 	92.281 	95.716 	98.725 	98.793 	109.793 
A,PD15_EUR,B1GQ,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	66.561 	68.286 	70.949 	72.730 	74.468 	77.167 	79.718 	80.036 	83.079 	85.658 	88.149 	91.035 	93.687 	97.680 	97.937 	99.779 	101.391 	103.093 	102.127 	100.760 	100.000 	99.425 	100.456 	101.465 	102.808 	101.564 	104.481 	111.212 p
A,PD15_EUR,B1GQ,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	44.036 	48.733 	50.620 	55.401 	55.794 	58.873 	64.527 	73.308 	71.826 	74.629 	79.990 	84.603 	89.416 	101.524 	98.285 	101.294 	104.132 	103.294 	101.355 	98.093 	100.000 	102.058 	106.172 	111.782 	116.025 	117.444 	125.210 	141.876 
A,PD15_EUR,B1GQ,DE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	68.163 	72.862 	78.972 	81.089 	84.936 	83.846 	81.728 	82.092 	82.934 	82.528 	83.605 	84.757 	85.877 	86.835 	87.187 	87.533 	89.083 	89.893 	91.549 	92.139 	93.125 	94.518 	96.370 	98.180 	100.000 	101.328 	102.851 	104.916 	107.145 p	109.085 p	112.421 p	118.639 p
A,PD15_EUR,B1GQ,DK	25.120 	28.943 	31.080 	33.073 	34.485 	34.553 	37.789 	40.427 	43.546 	46.059 	48.800 	50.453 	53.194 	54.827 	56.850 	59.761 	60.947 	62.744 	64.900 	66.356 	69.181 	70.274 	70.499 	71.218 	73.039 	75.059 	76.967 	79.003 	80.171 	81.750 	83.992 	85.652 	87.835 	91.401 	92.005 	94.957 	95.521 	97.881 	98.562 	99.621 	100.000 	100.436 	101.716 	102.276 	103.170 	106.030 	109.215 	117.497 
A,PD15_EUR,B1GQ,EA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	73.787 	75.616 	75.314 	76.138 	77.299 	78.363 	80.237 	82.197 	84.023 	85.621 	87.189 	88.899 	90.992 	92.764 	93.667 	94.285 	95.250 	96.468 	97.663 	98.588 	100.000 	100.915 	102.040 	103.604 	105.392 	107.273 	109.484 	114.540 
A,PD15_EUR,B1GQ,EA12	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	73.640 	75.522 	75.303 	76.084 	77.301 	78.316 	80.237 	82.197 	84.023 	85.621 	87.189 	88.899 	90.999 	92.761 	93.634 	94.255 	95.226 	96.440 	97.637 	98.568 	100.000 	100.923 	102.023 	103.559 	105.328 	107.219 	109.379 	114.264 
A,PD15_EUR,B1GQ,EA19	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	73.167 	75.061 	74.907 	75.704 	76.913 	77.983 	79.905 	81.868 	83.693 	85.315 	86.916 	88.678 	90.886 	92.762 	93.616 	94.238 	95.244 	96.474 	97.669 	98.592 	100.000 	100.915 	102.040 	103.604 	105.392 	107.273 	109.484 	114.540 
A,PD15_EUR,B1GQ,EA20	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	73.101 	74.995 	74.852 	75.660 	76.858 	77.932 	79.864 	81.833 	83.656 	85.287 	86.896 	88.670 	90.884 	92.781 	93.637 	94.264 	95.264 	96.490 	97.680 	98.597 	100.000 	100.915 	102.044 	103.614 	105.404 	107.272 	109.484 	114.562 
A,PD15_EUR,B1GQ,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	32.332 	38.871 	41.531 	44.296 	47.464 	49.213 	52.559 	55.112 	57.256 	59.941 	63.492 	69.193 	77.744 	83.032 	82.709 	84.217 	88.826 	92.444 	96.170 	98.974 	100.000 	102.187 	105.856 	110.977 	114.536 	113.928 	120.760 	140.762 
A,PD15_EUR,B1GQ,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	68.944 	73.587 	77.444 	76.136 	80.098 	78.746 	80.497 	83.192 	86.066 	88.701 	90.689 	93.858 	97.071 	101.288 	103.891 	103.707 b	104.701 	104.413 	102.278 	100.295 	100.000 	99.421 	99.705 	99.540 	99.764 	98.905 p	100.183 p	108.311 p
A,PD15_EUR,B1GQ,ES	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	65.653 	68.876 	68.315 	69.524 	71.633 	74.018 	77.059 	80.207 	83.361 	86.598 	90.149 	93.737 	96.939 	99.124 	99.267 	99.419 	99.400 	99.286 	99.681 	99.458 	100.000 	100.322 	101.625 	102.891 	104.380 	105.660 p	108.091 p	112.718 p
A,PD15_EUR,B1GQ,EU15	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	71.082 	73.415 	75.213 	76.234 	77.761 	80.156 	81.375 	83.139 	83.475 	85.424 	86.947 	88.843 	90.949 	90.413 	89.513 	91.119 	92.197 	94.617 	95.125 	96.895 	100.000 	98.873 	98.923 	100.182 	102.007 	: 	: 	: 
A,PD15_EUR,B1GQ,EU27_2020	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	71.556 	73.632 	73.699 	74.610 	75.734 	77.219 	79.185 	81.182 	82.645 	84.289 	86.282 	88.207 	90.826 	93.161 	92.977 	94.373 	95.577 	96.856 	97.963 	98.657 	100.000 	100.739 	102.069 	103.511 	105.319 	107.189 	109.752 	115.312 
A,PD15_EUR,B1GQ,EU28	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	69.594 	71.919 	73.817 	75.000 	76.406 	78.985 	80.487 	82.289 	82.438 	84.439 	86.370 	88.431 	90.955 	91.099 	89.669 	91.524 	92.640 	94.897 	95.383 	97.018 	100.000 	98.917 	99.262 	100.650 	102.592 	: 	: 	: 
A,PD15_EUR,B1GQ,FI	: 	: 	: 	: 	: 	37.546 	45.230 	50.223 	51.690 	58.713 	62.169 	61.388 	62.938 	69.441 	77.430 	79.240 	78.071 	67.847 	59.876 	65.960 	74.537 	72.950 	73.803 	74.794 	75.954 	77.198 	79.749 	80.502 	80.654 	81.141 	81.894 	82.648 	84.924 	87.503 	89.055 	89.343 	91.687 	94.414 	96.829 	98.409 	100.000 	100.087 	100.907 	102.927 	104.468 	106.175 	108.471 	113.078 
A,PD15_EUR,B1GQ,FR	29.310 	32.305 	33.503 	35.758 	38.837 	43.086 	46.761 	49.228 	51.271 	54.089 	57.682 	60.556 	60.885 	61.871 	64.018 	66.762 	67.881 	70.479 	73.942 	75.205 	76.721 	78.147 	77.408 	78.276 	78.936 	80.162 	81.772 	83.462 	85.014 	86.394 	88.066 	89.965 	92.265 	94.449 	94.512 	95.523 	96.428 	97.548 	98.307 	98.875 	100.000 	100.523 	101.047 	102.049 	103.354 	106.232 	107.649 p	110.912 p
A,PD15_EUR,B1GQ,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	58.223 	60.074 	62.785 	66.177 	64.559 	66.779 	71.087 	74.505 	76.113 	79.632 	83.176 	87.312 	90.885 	97.401 	98.716 	100.328 	99.946 	100.246 	100.231 	99.648 	100.000 	101.003 	103.131 	105.863 	107.984 	107.038 	109.361 p	118.230 p
A,PD15_EUR,B1GQ,HU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	49.651 	51.413 	56.603 	56.655 	58.299 	62.100 	69.887 	79.779 	80.579 	85.341 	88.857 	86.456 	95.845 	100.388 	93.849 	97.920 	98.419 	97.807 	97.984 	97.706 	100.000 	100.852 	105.680 	107.432 	110.354 	108.744 	113.400 	119.782 p
A,PD15_EUR,B1GQ,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	57.429 	60.380 	66.608 	67.477 	70.312 	75.146 	80.301 	84.466 	87.769 	88.222 	90.933 	94.043 	95.170 	94.690 	90.311 	87.701 	89.216 	91.254 	92.213 	92.263 	100.000 	100.728 	101.831 	102.926 	106.602 	104.934 	105.624 	111.217 
A,PD15_EUR,B1GQ,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	65.994 	67.654 	73.165 	77.325 	82.644 	91.419 	82.506 	88.608 	88.561 	90.419 	103.805 	100.505 	105.016 	71.747 	66.220 	75.128 	77.680 	80.698 	81.575 	89.079 	100.000 	111.990 	125.277 	121.185 	117.908 	108.954 	119.530 	137.589 
A,PD15_EUR,B1GQ,IT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	59.912 	68.084 	70.906 	72.074 	73.460 	74.776 	77.045 	79.567 	82.072 	84.263 	85.958 	87.784 	89.960 	92.120 	93.666 	94.075 	95.587 	97.066 	98.180 	99.077 	100.000 	101.134 	101.869 	102.957 	103.923 	105.556 	106.186 	109.382 
A,PD15_EUR,B1GQ,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	31.723 	38.885 	48.522 	50.728 	52.678 	61.577 	63.313 	65.771 	65.362 	67.113 	71.735 	76.566 	83.116 	91.186 	88.181 	90.415 	95.252 	97.856 	99.110 	99.936 	100.000 	101.576 	105.887 	109.621 	112.605 	114.732 	121.997 	142.419 
A,PD15_EUR,B1GQ,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	57.810 	58.858 	58.560 	57.246 	60.391 	63.174 	63.673 	64.606 	66.018 	68.076 	71.355 	75.961 	77.399 	82.515 	83.233 	87.102 	90.107 	93.050 	95.167 	97.829 	100.000 	98.892 	101.012 	103.144 	104.582 	109.492 	116.260 	123.727 p
A,PD15_EUR,B1GQ,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	37.170 	41.190 	46.274 	48.445 	51.890 	60.152 	61.438 	62.232 	59.265 	61.114 	64.932 	73.005 	87.164 	96.969 	87.236 	86.553 	92.512 	97.112 	98.189 	99.884 	100.000 	100.863 	103.837 	107.877 	110.677 	111.753 	119.037 	134.602 
A,PD15_EUR,B1GQ,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	72.004 	83.554 	89.929 	92.094 	93.572 	94.697 	94.865 	96.825 	97.828 	100.000 	105.101 	109.121 	112.642 	114.920 	114.718 	120.140 	132.473 p
A,PD15_EUR,B1GQ,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	68.273 	71.275 	71.870 	72.718 	72.510 	76.110 	78.723 	82.345 	86.754 	86.994 	88.418 	91.694 	92.610 	96.679 	98.015 	100.000 	103.491 	106.432 	110.725 	111.696 	112.920 	117.024 p	126.421 e
A,PD15_EUR,B1GQ,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	73.009 	76.442 	77.392 	75.658 	76.914 	78.058 	79.855 	81.679 	84.317 	86.021 	88.744 	89.742 	91.668 	93.754 	95.951 	100.000 	101.997 	104.176 	106.462 	108.954 	110.706 	112.763 	118.677 
A,PD15_EUR,B1GQ,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	73.695 	73.041 	72.562 	73.776 	75.264 	77.838 	81.095 	84.153 	85.979 	87.015 	88.745 	91.018 	92.904 	95.047 	95.256 	96.152 	96.338 	97.732 	98.983 	99.233 	100.000 	100.455 	101.721 	104.200 	107.360 	109.431 	112.078 p	118.022 p
A,PD15_EUR,B1GQ,NO	22.410 	25.649 	27.846 	26.946 	27.393 	31.312 	37.992 	42.478 	44.188 	47.474 	49.221 	43.794 	44.008 	46.537 	49.774 	49.431 	50.092 	49.618 	49.121 	48.665 	50.691 	53.426 	56.133 	52.799 	57.349 	67.753 	69.465 	73.327 	70.763 	71.624 	81.407 	88.097 	91.156 	98.249 	87.838 	101.482 	111.183 	119.804 	117.644 	110.215 	100.000 	94.790 	98.273 	101.943 	98.774 	88.460 	109.292 	140.771 
A,PD15_EUR,B1GQ,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	55.612 	60.769 	63.623 	67.010 	65.909 	73.770 	83.034 	80.508 	71.134 	72.535 	83.707 	87.932 	93.905 	105.106 	88.529 	97.406 	97.372 	98.013 	97.929 	98.695 	100.000 	95.979 	100.107 	101.231 	103.424 	104.297 	106.845 	115.825 
A,PD15_EUR,B1GQ,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	63.791 	65.431 	67.005 	68.497 	71.234 	73.670 	76.408 	79.609 	82.337 	84.313 	87.123 	89.898 	92.564 	94.173 	95.207 	95.819 	95.565 	95.194 	97.334 	98.020 	100.000 	101.717 	103.255 	105.127 	106.966 	109.109 	110.753 p	115.662 p
A,PD15_EUR,B1GQ,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	30.605 	29.913 	34.052 	40.961 	37.414 	43.951 	46.452 	47.404 	48.615 	52.029 	65.198 	74.059 	90.671 	95.272 	86.131 	91.821 	94.867 	93.612 	95.779 	96.876 	100.000 	101.593 	104.495 	108.954 	114.130 	116.536 	120.537 p	136.358 p
A,PD15_EUR,B1GQ,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	138.617 	91.534 	107.545 	82.712 	94.531 	131.762 	63.083 	73.860 	77.440 	75.004 	75.335 	83.516 	95.491 	102.278 	95.651 	92.208 	101.499 	97.141 	102.112 	101.029 	100.000 	99.583 	104.046 	108.851 	111.904 	114.912 	121.712 	134.742 p
A,PD15_EUR,B1GQ,SE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	71.170 	72.681 	74.086 	82.016 	81.953 	80.167 	81.882 	86.680 	81.060 	83.159 	84.915 	85.196 	84.322 	86.062 	88.535 	87.929 	81.494 	91.598 	97.799 	102.474 	104.053 	100.667 	100.000 	100.288 	100.663 	96.814 	96.178 	99.072 	105.308 	106.259 
A,PD15_EUR,B1GQ,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	68.628 	68.963 	70.973 	74.210 	75.591 	75.110 	77.369 	80.289 	81.963 	82.861 	83.952 	85.807 	89.375 	93.366 	96.541 	95.547 	96.541 	97.003 	98.556 	99.005 	100.000 	100.874 	102.351 	104.513 	106.877 	108.223 	111.045 	119.067 
A,PD15_EUR,B1GQ,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	42.039 	43.881 	46.960 	47.461 	45.601 	51.711 	53.483 	56.378 	61.105 	66.980 	71.215 	75.966 	84.681 	94.103 	96.517 	97.031 	98.658 	99.902 	100.411 	100.217 	100.000 	99.488 	100.697 	102.746 	105.309 	107.806 	110.377 	118.660 
A,PD15_EUR,B1GQ,TR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	68.110 	69.011 	80.194 	63.967 	67.384 	70.569 	75.669 	85.862 	87.065 	93.628 	98.308 	91.361 	105.922 	97.877 	106.246 	103.113 	96.522 	100.000 	97.852 	88.113 	74.092 	75.708 	68.635 	67.813 	: 
A,PD15_EUR,B1GQ,UK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	59.930 	63.548 	74.650 	77.191 	80.006 	88.055 	87.263 	88.114 	81.968 	85.696 	87.349 	90.073 	92.153 	81.637 	74.143 	78.241 	78.935 	85.883 	83.461 	89.450 	100.000 	90.479 	86.215 	87.354 	89.936 	: 	: 	: 
